Tarih,Şimdi,Açılış,Yüksek,Düşük,Hac.,Fark %
13.05.2024,"195,20","200,00","203,00","194,00","2,48M","-1,91%"
10.05.2024,"199,00","200,00","206,00","198,40","2,28M","-0,50%"
09.05.2024,"200,00","195,00","200,10","193,20","1,75M","3,15%"
08.05.2024,"193,90","196,50","197,40","192,90","1,90M","-1,07%"
07.05.2024,"196,00","193,00","196,80","190,50","2,10M","2,03%"
06.05.2024,"192,10","195,00","195,90","191,20","1,99M","-0,72%"
03.05.2024,"193,50","186,10","194,50","186,10","2,03M","4,09%"
02.05.2024,"185,90","183,40","187,30","183,40","2,57M","1,86%"
30.04.2024,"182,50","183,00","187,90","180,70","2,91M","-0,05%"
29.04.2024,"182,60","182,50","183,70","178,00","2,79M","1,33%"
26.04.2024,"180,20","181,20","184,20","178,70","2,72M","-0,55%"
25.04.2024,"181,20","176,50","181,50","175,60","2,90M","2,72%"
24.04.2024,"176,40","175,70","178,40","172,30","2,06M","0,80%"
22.04.2024,"175,00","173,40","178,80","173,00","1,96M","1,98%"
19.04.2024,"171,60","169,00","173,50","167,50","2,65M","-0,23%"
18.04.2024,"172,00","167,80","172,50","165,70","2,27M","3,12%"
17.04.2024,"166,80","163,40","169,60","162,00","3,95M","3,09%"
16.04.2024,"161,80","156,50","163,70","156,00","4,10M","1,95%"
15.04.2024,"158,70","167,50","167,50","157,10","5,33M","-5,54%"
09.04.2024,"168,00","168,00","169,00","166,60","679,70K","0,18%"
08.04.2024,"167,70","163,80","167,70","163,00","2,79M","2,51%"
05.04.2024,"163,60","160,00","164,10","159,60","3,76M","2,76%"
04.04.2024,"159,20","154,80","160,50","154,10","5,49M","2,91%"
03.04.2024,"154,70","152,50","154,90","149,80","3,79M","1,44%"
02.04.2024,"152,50","155,50","160,00","151,30","7,37M","-1,61%"
01.04.2024,"155,00","154,00","159,50","151,40","9,39M","1,37%"
29.03.2024,"152,90","151,30","153,40","150,80","2,04M","1,12%"
28.03.2024,"151,20","148,10","151,30","147,50","2,46M","2,37%"
27.03.2024,"147,70","146,90","151,10","145,70","3,22M","1,16%"
26.03.2024,"146,00","150,00","151,00","144,50","2,21M","-2,67%"
25.03.2024,"150,00","154,40","155,10","148,50","5,54M","-2,91%"
22.03.2024,"154,50","151,60","156,80","147,40","6,55M","1,58%"
21.03.2024,"152,10","145,80","153,90","145,40","5,61M","4,82%"
20.03.2024,"145,10","140,60","145,70","139,40","5,21M","3,27%"
19.03.2024,"140,50","137,80","140,90","137,10","1,27M","2,18%"
18.03.2024,"137,50","139,90","140,90","136,50","1,58M","-0,79%"
15.03.2024,"138,60","140,50","140,50","137,30","2,98M","-0,36%"
14.03.2024,"139,10","149,70","149,70","138,80","4,18M","-6,14%"
13.03.2024,"148,20","152,90","153,20","147,80","2,03M","-3,07%"
12.03.2024,"152,90","152,00","152,90","147,40","6,23M","1,80%"
11.03.2024,"150,20","149,30","152,70","144,90","4,54M","1,90%"
